text,label
بابر کی دوستی کا فائدہ کم اور نقصان زیادہ ہوا: عثمان قادر,1
وزیر داخلہ سندھ نے گھوٹکی کے رہائشی کی سوشل میڈیا ویڈیو پر نوٹس لے لیا,1
چُست اور صحت مند رہنے کیلئے روزانہ کتنے قدم چلنا چاہیے؟ نئی تحقیق سامنے آگئی,1
کیا بھارتی میڈیا کے دعوے کے مطابق آئی ایس آئی نے واقعی 'حریت' بنائی؟ سابق جاسوس سربراہوں کی کتاب کا اصل مطالعہ بتاتا ہے کہ یہ جعلی خبر ہے۔,0
پرینکا گاندھی نے کہا ہے کہ اگر کوئی بغیر کسی وجہ کے پاکستان پر حملہ کرتا ہے تو ان کی فوج انہیں تباہ کر دے گی,0
قطر کو 2022 کے فٹ بال ورلڈ کپ کی میزبانی کے لیے منتخب کیے جانے کے بعد، خلیجی ریاست میں ٹورنامنٹ کے لیے بنیادی ڈھانچے کی تعمیر میں ہلاک ہونے والے تارکین وطن کارکنوں کی تعداد پر بحث کرنے میں برسوں گزر گئے۔,0
ویڈیو دکھائیں یوگی آدتیہ ناتھ پاکستان کو چندہ دینے پر شاہ رخ خان پر حملہ کرتے ہوئے ایک بیان دے رہے ہیں,0
پرفیوم کی خوشبو زیادہ وقت تک برقرار رکھنے میں مددگار آسان طریقے,1
مغربی بنگال کے تیلنی پاڑا میں دلت ہندوؤں کے گھروں کو جلائے جانے کی تصاویرہیں,0
ویڈیو میں دکھایا گیا ہے کہ آر ایس ایس کے شخص کو برقع میں پاکستانی پرچم لہرانے پر گرفتار کیا گیا ہے,0
امراض سے بچنے کیلئے بستر کی چادر کو کتنے دنوں بعد بدل دینا چاہیے؟,1
افریقن یونین نے فوجی ٹیک اوور کے باعث نائجر کی رکنیت معطل کردی,1
شمالی کرناٹک میں اپنی ریلی کے دوران کانگریس پارٹی کے حامیوں نے ہندوستانی پرچم کے ساتھ پاکستان پرچم لہرایا ہے,0
موبائل زیادہ استعمال کرنے پر شوہر نے بیوی کو قتل کرکے سسر کی مدد سے لاش دریا میں پھینک دی,1
پاکستانی طالب علم نے امریکا میں اینی میشن کا عالمی مقابلہ جیت لیا,1
کورونا وائرس کی نئی قسم کس حد تک خطرہ ثابت ہو سکتی ہے؟,1
تصاویر پاکستان میں کراچی میں خانہ جنگی دکھاتی ہیں,0
عمران خان کی بشریٰ بی بی سے شادی کی خواہش پر حیران تھا مگر کچھ کہہ نہ سکا: عون چوہدری,1
مراٹھی اداکارہ جوئی گڈکری نے اپنے حادثے کی افواہوں کی تردید کردی,0
پنجاب حکومت نے بشریٰ بی بی کے داماد کو ٹیوٹا کا چیئرمین مقرر کر دیا۔,0
امریکی ریاست کیلیفورنیا میں 5.1 شدت کا زلزلہ,1
بھارتی صحافی نے تصدیق کر دی کہ فوج نے کوئی ثبوت فراہم نہیں کیا۔,0
پاکستان کے وزیر اعظم عمران خان نے کہا ہے کہ اگر پاکستان کورونا وائرس کی ویکسین تیار کرتا ہے تو وہ اسے بھارت یا اسرائیل کو نہیں دیں گے,0
اسلام آباد میں یونیورسٹی کی طالبہ سے مبینہ اجتماعی زیادتی، بلیک میل بھی کیا گیا,1
ویڈیو میں دکھایا گیا ہے کہ ایس پی ممبران رہنما ابو عاصم اعظمی کی موجودگی میں وڈالا اسٹیشن میں پاکستان زندہ باد کے نعرے لگا رہے ہیں,0
سندھ ہائی کورٹ کے رجسٹرار کا دعویٰ ہے کہ میڈیا پر گردش کرنے والا لاڑکانہ جج کا استعفیٰ خط 'جعلی' ہے,0
چیف جسٹس پاکستان کو چیئرمین پی ٹی آئی سے کتنا لگاؤ ہے نظر آگیا: عطا تارڑ,1
پاکستانی پارلیمنٹ میں ’مودی مودی‘ کے نعرے لگائے گئے۔,0
ایران نے مقامی طور پر بنائے گئے جدید ڈرون مہاجر 10 کی رونمائی کردی,1
میسی کا جادو امریکا میں بھی چل گیا، انٹر میامی نے پہلی بار لیگز کپ اپنے نام کرلیا,1
'بڈھا نہیں ہوا ابھی میں'، شاداب کا ایک بار پھر کپتان بابر کے نام پیغام,1
مظفر گڑھ میں ایم فل کی طالبہ سے 3 افراد کی مبینہ زیادتی,1
جہانگیر ترین کے بیٹے نے سوشل میڈیا پر جھوٹی خبروں کو مسترد کر دیا۔,0
ٹھٹھہ: جھرک کے قریب ٹرک اور وین میں تصادم، 7 افراد جاں بحق,1
نووا کاخووکا ڈیم کی خلاف ورزی: ​​پرانی تصویر آج کے نقصان کو غلط طور پر بیان کرنے کے لیے دوبارہ سامنے آئی,0
پاکستان میں اجتماعی زیادتی کا نشانہ بننے والی خاتون نے وائرل ویڈیو میں بیان دیا,0
طالبان نے یونیورسٹی اسکالر شپ کیلئے دبئی جانیوالی 100 افغان طالبات کو روک لیا,1
رانی مکھرجی کے 5 ماہ کا حمل ضائع ہونیکا انکشاف,1
پاکستانی کرکٹر یاسیر شاہ کا پی آئی اے فلائٹ 8303 حادثے میں انتقال ہوگیا,0
تصویر میں ہندو موچی بنانے والے خاندان کو دکھایا گیا ہے جسے ایک پاکستانی مسلمان عالم نے قتل کر دیا تھا,0
ایشیاکپ سکیورٹی: پنجاب حکومت نے فوج اور رینجرز کی طلبی کیلئے وفاق کو سمری بھجوادی,1
پاکستانی روپے کے مقابلے میں ڈالر 76 تک گر گیا۔,0
کمشنر آفس پنڈی میں اجلاس کیلئے آنیوالے ڈسٹرکٹ الیکشن کمشنر کا موبائل چوری,1
ویڈیو میں دعوی کیا گیا ہے کہ ایک پاکستانی خاتون پولیو ویکسین سے انکار کر رہی ہے,0
امید ہے ٹیم ایشیا کپ اور ورلڈکپ جیت کر وطن لائے گی: ذکا اشرف کی کھلاڑیوں سے گفتگو,1
خواتین پر تشدد، زیادتی کی ویڈیو سندھ سے نہیں راجستھان سے آئی,0
مغربی بنگال سے تعلق رکھنے والے ایک شخص نے بندوق اٹھائی، پاکستان کا جھنڈا پہنا اور ہندوستانی پرچم پر کھڑا ہوگیا,0
شہباز شریف نے 2 نیوز چینلز کو ہتک عزت کا نوٹس بھیج دیا۔,0
تصویر سے پتہ چلتا ہے کہ اروند کیجریوال نے پاکستان کے وزیر اعظم عمران خان سے دہلی انتخابات سے قبل ان کا آشیرواد لینے کے لیے ملاقات کی,0
بٹگرام میں بچوں کو بچانے والے ہیرو صاحب خان کا حکومت سے ملازمت دینے کا مطالبہ,1
جڑانوالہ واقعے کی تحقیقات کیلیے 10 جے آئی ٹیز تشکیل,1
رنویر اور عالیہ کے مشہور گانے 'واٹ جھمکا' پر آشا بھوسلے کی سخت تنقید,1
بیٹی کی شادی میں غیر موجودگی، شمعون عباسی کی پوسٹ کے بعد سابقہ اہلیہ کی اسٹوری وائرل,1
ویڈیو میں دکھایا گیا ہے کہ پاکستان میں ایک ہندو لڑکی کو مارا پیٹا جا رہا ہے,0
ویڈیو میں دکھایا گیا ہے کہ پاکستان میں ایک چرچ کو جلانے والے مسلمانوں کو نیوزی لینڈ مسجد کے حملوں کا انتقامی کارروائی کے طور پر جلایا گیا ہے,0
تصاویر میں پنجاب سے تعلق رکھنے والے ایک پولیس اہلکار کو دکھایا گیا ہے جس کے ساتھ امرتسر میں عصمت دری اور قتل کیا گیا تھا,0
آئی فون چارج کرتے وقت یہ غلطی ہرگز نہ کریں، ایپل نے صارفین کو خبردار کردیا,1
تصویر میں پاکستانی پائلٹ کے F-16 کاک پٹ میں پیشاب کرنے پر ڈان کا مضمون دکھایا گیا ہے,0
روسی تیل کامیابی سے ریفائننگ کے مرحلے سے گزرا، پاکستان ریفائنری کا بیان,1
ہندوستان کے خلاف میچ سے قبل رات گئے تک پاکستان کرکٹرز باہر تھے,0
سگریٹ سے ملنے والے ٹیکس ریونیو میں 65 ارب روپے کا شارٹ فال,1
پاکستان کے قومی پرچم میں لپٹے تابوت کی ایک تصویر اس دعوے کے ساتھ وائرل ہوئی کہ اس میں حالیہ دہشت گردانہ حملے کے بعد کا منظر دکھایا گیا ہے۔ انڈیا ٹوڈے کے اینٹی فیک نیوز وار روم کو یہ تصویر پرانی معلوم ہوئی ہے,0
کیا واقعی پولیس نے نواز شریف پر جوتا پھینکنے والے کو مارا؟,0
کراچی پولیس مقابلے میں 5 ڈاکوؤں کی ہلاکت کا معاملہ، ویڈیو سامنے آگئی,1
امریکی گلوکارہ برٹنی اسپیئرز اور شوہر کا شادی کے 14 ماہ بعد علیحدگی کا فیصلہ,1
پائلٹ نے اللہ پکارنے کے بعد پاکستان میں لڑاکا طیارے میں پیشاب کیا,0
تالوں کے نیچے اس ننھے سوراخ کی موجودگی کی وجہ جانتے ہیں؟,1
پاکستان کی پارلیمنٹ میں مودی مودی کے نعرے لگائے گئے,0
پڑوسیوں کے کتوں کی لڑائی خونی جھگڑے میں تبدیل، فائرنگ سے 2 افراد ہلاک,1
ملائیشیا میں طیارہ سڑک پر گرکر تباہ، 10افراد ہلاک,1
ادارے میں 600 ارب روپے تک کی کرپشن ہوتی ہے: چیئرمین ایف بی آر کا انکشاف,1
ویڈیو: شدید بارشوں کے باوجود دلہا دلہن پانی میں ڈوبے چرچ میں شادی کیلئے پہنچ گئے,1
وائرل ویڈیو کلپ میں شخص آئی ایس آئی کے سابق سربراہ احمد شجاع پاشا نہیں ہے۔,0
امراض قلب کا اشارہ دینے والی عام نشانیوں سے واقف ہیں؟,1
سپریم کورٹ: وکیل قتل کیس میں عمران خان کو گرفتار نہ کرنے کا حکم برقرار,1
کراچی: اورنگی ٹاؤن میں نامعلوم افراد کی فائرنگ سے پیپلزپارٹی کا علاقائی عہدیدار جاں بحق,1
ان میں سے کسی رنگ کا انتخاب کریں اور اپنی شخصیت کے راز جانیں,1
رانی پور: اسد شاہ کی حویلی میں محصور تمام بچیوں کو نکال کر گھر بھیجیں گے، پولیس,1
برطانوی اخبار نے بھارتی ذرائع کو استعمال کرتے ہوئے پاکستان کے بارے میں ایک خبر کو پروپیگنڈا میں تبدیل کر دیا۔,0
بھارتی حکومت کے آرٹیکل 370 کے فیصلے کے بعد PoK کے رہائشی پاکستانی پرچم جلا رہے ہیں,0
پاکستانی پاسپورٹ کی فیس 70 ہزار روپے ہو گئی۔,0
ہر بال پوائنٹ پین کے ڈھکن کے اوپر سوراخ ہونے کی وجہ جانتے ہیں؟,1
پریانکا اور امیشا پر 'تضحیک آمیز' تبصرے، صارفین نے نادر علی پر پابندی کا مطالبہ کردیا,1
حیدرآباد میں سماجی دوری کے اصولوں کی خلاف ورزی کرتے ہوئے لوگ دکھائے ہیں,0
اچھی نیند کے حصول کے لیے مددگار بہترین غذائیں,1
بجردیہ ورانسی میں پولیس نے سی اے اے کے احتجاج کے دوران خواتین کو زدوکوب کیا,0
جیو کے ڈرامہ جن زادہ میں جن کے کردار کو حقیقی روپ دینے والی میک اپ آرٹسٹ,1
تصاویر میں پاکستان کے شہر کراچی کوخانہ جنگی کے نتیجے میں دکھایا گیا ہے,0
پاکستانی کرکٹ کے مداح عبدالجلیل عرف چاچا کرکٹ انتقال کر گئے,0
گھوٹکی: پسندکی شادی پر جرگے نے لڑکےکی بھتیجی ونی کرنےکا فیصلہ سنادیا,1
حساس ادارے اور پولیس کی لیاری میں کارروائی، بھارتی جاسوس سمیت پاکستانی سہولت کار گرفتار,1
مرکزی حکومت کے ذریعہ منظور کردہ تین فارم بلوں کے خلاف صرف پنجاب کے کسان ہی احتجاج کر رہے ہیں,0
لودھراں: بھیک مانگنے والی خاتون سے 10 روز تک اجتماعی زیادتی کرنیوالے 3 ملزمان گرفتار,1
ملکی زرمبادلہ کے ذخائر 12 کروڑ 46 لاکھ ڈالر کم ہوگئے,1
سمندری طوفان ہیرلڈ امریکی ریاست ٹیکساس کے جنوبی ساحلوں سے ٹکرا گیا,1
کراچی سے چھینے گئے موبائلز کی ’پیچنگ‘ کے بعد دوبارہ فروخت کا نیا کاروبار,1
تصویر میں دکھایا گیا ہے کہ پاکستانی اپوزیشن کے احتجاج کے دوران کراچی میں بھارتی پرچم لہرایا گیا ہے,0
صدر کو زینب الرٹ رسپانس اینڈ ریکوری ایکٹ پر عملدرآمد سے متعلق بریفنگ,1
افغانستان کیخلاف دوسرا ون ڈے میچ ، مکی آرتھر نے ٹیم کو جوائن کرلیا,1
 پرواز کا بھکاری پاکستانی نہیں ہے۔,0
"ڈان نیوز نے حال ہی میں ایک جعلی خبر شائع کی ہے جس میں ان کا دعویٰ ہے کہ وزیر اطلاعات شبلی فراز نے درج ذیل کہا ہے: ""حکومت سرمایہ کاروں کو اپنے کالے دھن کو سفید کرنے کی پیشکش کرتی ہے""۔ وزیر نے یہ نہیں کہا اور ڈان نیوز نے اسے بنا دیا۔",0
ایک سپاہی کی ویڈیو میں بھارت میں کشمیری مسلمان کو بے دردی سے چھرا گھونپ رہا ہے,0
دھیریندر شاستری پر جعلی خبروں کے لیے یوٹیوب پر مقدمہ درج,0
پشاور حملہ: سوشل میڈیا پر گردش کرنے والی بہادری کی کہانی جعلی نکلی۔,0
ڈی ایف آر اے سی کی رپورٹ کے مطابق پاکستانی آری نیوز سمیت کئی میڈیا ہاؤسز نے غلط خبر چلائی تھی کہ عمان کے مفتی اعظم نے ہندوستانی مصنوعات کے بائیکاٹ کا اعلان کیا تھا۔,0
گوگل کا پہلا دفتر کھلا ، سیکٹر جی 9 ، اسلام آباد ، پاکستان ہے,0
بین الاقوامی فلائٹ میں بم کی جھوٹی افواہ پھیلانے پر سابق پاکستانی ماڈل گرفتار,1
ویڈیو میں دکھایا گیا ہے کہ پاکستانی اور چینی فوجی وادی گلوان میں کارروائی میں 20 ہندوستانی فوجیوں کی ہلاکت کے بعد جشن منا رہے ہیں,0
خبردار! ناک کے بال نوچنے سے آپ کی جان بھی جاسکتی ہے,1
بیشتر افراد کی وہ پسندیدہ غذا جو گردوں کی پتھری جیسے مرض کا شکار بنا سکتی ہے,1
اسلام آباد سے سعودی عرب کے مسافر کے قبضے سے ڈیڑھ کلو آئس ہیروئن برآمد,1
کشمیر اور پنجاب کے لیے الگ ملک کا مطالبہ کرنے کے لیے سکھوں کے نعرے لگانے کی وائرل ویڈیو کسانوں کے جاری احتجاج کی ہے,0
کراچی میں خاتون نے ڈکیتی کی کوشش ناکام بنا دی,1
تصویر میں دکھایا گیا ہے کہ بھارت میں مظاہرین احتجاج کے دوران قومی پرچم جلا رہے ہیں,0
گھریلو جھگڑے سے تنگ شوہر نے بیوی سمیت خود کو دھماکے سے اڑا لیا,1
ہمیں کورونا نہیں ہوگا کیونکہ ہم ایک مسلمان ملک ہیں اور دن میں پانچ بار وضو کرنے سے فائدہ ہوتا ہے۔,0
ساتھی کی یاد میں 6 دن تک ڈرم بجاکر گنیز ورلڈ ریکارڈ قائم کرنیوالا شخص,1
ٹک ٹاک میں لو جہاد میں پھنسی خواتین کو مسلمان شوہر نے گھریلو تشدد کا نشانہ بنایا,0
بھالو شادی میں باراتی بن کر گھس آیا، میٹھا کھا کر چلتا بنا,1
پنجاب میں پکڑے گئے ایک دہشت گرد کی ویڈیو کپڑے کے سیلز مین کی طرح بھیس میں ہے,0
ویڈیو میں گجرات کے ساحل پر ہندوستانی بحریہ کے جہاز (آئی این ایس تلوار) کے ساتھ پاکستانی بحریہ کے جہاز (PNS182) کے درمیان حالیہ قریبی تصادم دکھایا گیا ہے,0
سوشل میڈیا پر مسلسل ٹرولنگ سے ذہنی صحت متاثر ہوتی ہے: اداکار علی رحمان,1
شہزادہ ہیری واقعی اپنی مرحوم والدہ کے لیے ایک نشست خالی چھوڑ دیتے ہیں۔,0
کامیاب آپریشن کے بعد خاتون کے پیٹ سے 15 کلو وزنی ٹیومر نکال دیا گیا,1
میکسیکو میں ٹرالر اور بس میں تصادم سے 16 افراد ہلاک، 30 زخمی,1
سونےکی فی تولہ قیمت میں مزید اضافہ ہوگیا,1
ایشین والی بال چیمپئن شپ میں پاکستان میڈل کی دوڑ سے آؤٹ,1
آئی سی سی نے کرکٹ ورلڈ کپ کیلئے وارم اپ میچز کا شیڈول جاری کردیا,1
اسلام آباد: 14 سالہ ملازمہ پر سول جج کی اہلیہ کے مبینہ تشدد کے واقعہ کا مقدمہ درج,1
ورلڈکپ سے ڈیڑھ ماہ قبل ایک بار پھر پی سی بی میں تبدیلی کے بادل منڈلانے لگے,1
مغربی بنگال کے تلینی پارا میں دلت ہندوؤں پر حملہ کی تصاویردکھاتی ہے,0
پی سی بی سینٹرل کنٹریکٹ دے لیکن کھلاڑیوں کےکمرشل رائٹس کیسے لے سکتا ہے: راشد لطیف,1
پوسٹ میں دعویٰ کیا گیا ہے کہ ویڈیو کلپ متوفی پاکستانی ڈاکٹر اسامہ ریاض کا آخری پیغام ہے جو مریضوں کا علاج کرتے ہوئے کورونا وائرس کا شکار ہو گئے تھے,0
کوویڈ 19 کے پس منظر میں مساجد میں نماز روکنے کے حکومتی فیصلے کو چیلنج کرنے والے مسلمانوں کی ویڈیوہے,0
پوسٹس میں دعویٰ کیا گیا ویڈیو دکھاتا ہے کہ اپوزیشن لیڈر بلاول بھٹو زرداری نہیں جانتے کہ پاکستان میں بنیادی اشیائے خوردونوش کا وزن اور فروخت کیسے کیا جاتا ہے,0
نیوزی لینڈ کے مسجد حملوں کے جواب میں ، اسلام پسندوں نے پاکستان میں ایک عیسائی چرچ کو جلا دیا ہے,0
ایلون مسک 'روبوٹ بیوی' بنا رہا ہے,0
پی ٹی آئی، جے یو آئی نے الیکشن کمیشن کے سامنے مطالبات رکھ دیے,1
پاکستانی حکومت نے لاہور ہوائی اڈے کو شراب فروخت کرنے کا لائسنس دیا؟,0
تصویر میں پاکستانی اسلامی رہنما کو وہسکی کی بوتل کے ساتھ دکھایا گیا ہے,0
فرانس نے 183 پاکستانی شہریوں کے ویزا کو منسوخ کردیا اور میکرون پر عمران خان کے تبصرے کے خلاف رد عمل کے طور پر درست دستاویزات کے باوجود 118 دیگر افراد کو زبردستی جلاوطن کردیا,0
پاکستان میں خانہ جنگی جیسی صورتحال پیدا ہو گئی ہے,0
انٹربینک اور اوپن مارکیٹ میں ڈالر کی قدر میں اضافہ,1
ایشین والی بال چیمپئن شپ : پاکستان کو دوسرے گروپ میچ میں کوریا نے شکست دیدی,1
تصویر میں دکھایا گیا ہے کہ ہندوستانی ایم آئی 17 ہیلی کاپٹر لداخ میں گر کر تباہ ہو گیا ہے,0
افغانستان کے نجیب اللہ زدران پاکستان کیخلاف ون ڈے سیریز سے باہر ہو گئے,1
پاکستان مردہ باد کے نعرے لگانے والے مسلمانوں کی ویڈیو میں دعویٰ کیا گیا ہے کہ یہ نیا جموں و کشمیر ہے,0
بٹگرام چیئر لفٹ میں پھنسے بچوں کو حفاظتی جیکٹس پہنانے کی ویڈیو سامنے آ گئی,1
کراچی میں دن دیہاڑے ڈکیتی کا معاملہ، پولیس نے مقدمہ درج کر لیا,1
دی نیوز نے ملک کی جی ڈی پی کے حوالے سے حماد اظہر کا جعلی بیان شائع کیا ہے۔ موسیٰ ورک نے اصل خبر بتا کر تردید کی ہے۔,0
ویڈیو میں دکھایا گیا ہے کہ امریکی اہلکار دسمبر 2020 میں انڈین تواریخ کی تحقیقات کے بعد بھارت پر مبنی ٹیلی فراڈ اسکیم کی تفصیل دے رہا ہے,0
بھارتی اداکارہ راکھی ساونت کی فلم کے سیٹ پر بننے والی ان تصاویر کو حقیقی سمجھ کر شیئر کیا گیا ہے,0
2 گریٹ وائٹ شارک مچھلیوں کی دوستی نے سائنسدانوں کو دنگ کر دیا,1
ہریتھک اور صبا آزاد کی تصویر پر اداکار کی سابقہ اہلیہ سوزین کا تبصرہ وائرل,1
سڑک پر بنی پیلی اور سفید لکیریں آپ کو کیا بتاتی ہیں؟,1
کراچی میں 15 سالہ ڈکیت لڑکی پکڑی گئی,1
'بڈھا نہیں ہوا ابھی میں'، شاداب کی ٹوئٹ پر کرکٹر فاطمہ ثنا کی ٹوئٹ وائرل,1
تصاویر میں دکھایا گیا ہے کہ پاکستانی ڈاکٹر پر دل کے مریض کے اہل خانہ نے حملہ کیا ہے جو COVID-19 کی غلط تشخیص پر مر گیا تھا۔,0
ویڈیو میں پاکستان کے صدر کے خلاف گواہی دینے والے شخص کو گولی مار کر دکھایا گیا ہے,0
سعودی عرب حکومت نے رونالڈو کو کوئی بھی سونے کی بائیک تحفہ میں نہیں دی ہے۔وائرل کی جا رہی بائیک ایک دی شخص کی ذاتی ملکیت ہے,0
تصویر کا راجستھان میں حال ہی میں ہوئے مگ حادثہ سے کوئی تعلق نہیں ہے۔ یہ سال 2021 کی ایک دیگر طیارہ حادثہ کی تصویر ہے,0
پاکستان کی نئی حکومت میں ادویات کی قیمتوں میں ہوشربا اضافہ,0
جنوبی کورین دوشیزہ بھارتی شہری کی محبت میں بھارت پہنچ گئی,1
کیا آرنلڈ شوارزنیگر کو ہوٹل میں رہائش سے انکار کیا گیا تھا؟,0
چین نے 800 سال پرانی مسجد کو تباہ کر دیا۔,0
سانحہ جڑانوالہ: پولیس نے مرکزی ملزمان کے محلے دار کو گرفتار کرلیا,1
جمائمہ نے صارفین کو اپنے نام سے موجود جعلی ٹک ٹاک اکاؤنٹ سے خبردار کر دیا,1
پاکستانی ائیرلائنز کی یورپی ملکوں میں بحالی کیلئے کوششیں، ٹیم برسلزپہنچ گئی,1
کراچی میں اعلیٰ پولیس افسران بھی غیر محفوظ، ڈی ایس پی اور فیملی سے لوٹ مار,1
ویڈیو: مکہ میں تیز بارش اور کلاک ٹاور پر بجلی گرنےکا منظر,1
پاکستان اور بھارت میں زلزلہ آنے والا ہے۔,0
ڈپریشن سے ایک اور سنگین مرض سے متاثر ہونے کا خطرہ بڑھ جاتا ہے، تحقیق,1
ہندوستان کے وزیر صحت نے شہریوں کو چہرے کے ماسک نہ پہننے پر تھپڑ مارا,0
کراچی میں سچل تھانے کی پولیس موبائل پرگشت کے دوران دستی بم حملہ، 3 اہلکار شدید زخمی,1
شاہد آفریدی نے عماد وسیم کو ان کے جعلی سکینڈل پر سخت تنقید کا نشانہ بنایا,0
جنگ نیوز نے رپورٹ کیا کہ سنتھیا ڈی رچی نے پی ٹی آئی رہنما پر بدسلوکی کا الزام لگایا ہے۔ وہ خود سامنے آتی ہے اور یہ کہہ کر جعلی خبروں کا پردہ فاش کرتی ہے کہ اس نے ایسا کچھ ٹویٹ نہیں کیا۔,0
اسلام آباد: تمام اسپتالوں کو طبی خدمات کی ریٹ لسٹ لگانے کی ہدایات جاری,1
نارتھ کراچی میں مبینہ پولیس مقابلے میں 5 ڈاکو ہلاک,1
آئی سی سی ون ڈے رینکنگ جاری: بیٹرز میں بابر ٹاپ پر برقرار، حارث کی 7 درجے ترقی,1
پاکستان نے پورے جموں و کشمیر کو بھارت کا حصہ تسلیم کر لیا ہے۔ حکومت پاکستان کی ویب سائٹ پر ایک نقشہ بھی یہی دکھاتا ہے,0
ثقلین مشتاق دوبارہ نیوزی لینڈ کے کوچنگ پینل میں شامل,1
